<metadata>
This file contains a set of observations of particle decays that come from one specific species of hadron, X.
The hadron is observed in the decay X goes to proton plus pi^-  Assume all X particles are produced at the origin
(x=0,y=0,z-0) with a range of momenta.  The position of the decay and the momentum of the proton and pi^- are measured.
Each row corresponds to one event. The columns are:
* x-position of the decay vertex in cm
* y-position of the decay vertex in cm
* z-position of the decay vertex in cm
* species of first particle (always a proton)
* p1x: x-momentum of the proton produced in the decay in GeV
* p1y: y-momentum of the proton produced in the decay in GeV
* p1z: z-momentum of the proton produced in the decay in GeV
* species of second particle (always a pi^-)
* p2x: x-momentum of the pi^- produced in the decay in GeV
* p2x: y-momentum of the pi^- produced in the decay in GeV
* p2x: z-momentum of the pi^- produced in the decay in GeV
</metadata>
 128.175, 145.154, 154.891, proton, 6.471, 7.398, 7.916, pi-, 1.944, 2.132, 2.254,  YY
 51.204, -74.717, 16.366, proton, 3.974, -5.643, 1.227, pi-, 0.426, -0.777, 0.179,  YY
 86.089, 139.415, -112.427, proton, 3.946, 6.428, -5.172, pi-, 0.292, 0.436, -0.363,  YY
 -8.929, -20.739, -16.022, proton, -1.223, -2.917, -2.269, pi-, -0.123, -0.208, -0.146,  YY
 -4.785, -1.323, -0.163, proton, -3.000, -0.741, -0.049, pi-, -0.537, -0.237, -0.072,  YY
 -14.781, -18.661, -0.012, proton, -3.275, -4.182, 0.093, pi-, -0.649, -0.772, -0.096,  YY
 40.439, 39.411, 28.022, proton, 2.202, 2.126, 1.618, pi-, 0.558, 0.564, 0.294,  YY
 -158.509, 21.620, -119.126, proton, -11.385, 1.648, -8.535, pi-, -2.465, 0.241, -1.873,  YY
 -0.051, 0.995, -0.004, proton, -0.155, 2.036, -0.071, pi-, 0.041, 0.215, 0.061,  YY
 -18.666, -38.705, -34.625, proton, -1.681, -3.349, -3.076, pi-, -0.412, -0.991, -0.807,  YY
 5.367, -9.658, -8.951, proton, 0.678, -1.408, -1.301, pi-, 0.199, -0.169, -0.161,  YY
 -64.149, 8.073, 55.783, proton, -10.590, 1.235, 9.200, pi-, -2.303, 0.387, 2.011,  YY
 65.493, -27.832, 69.632, proton, 7.548, -3.281, 8.053, pi-, 0.750, -0.245, 0.770,  YY
 84.519, 42.978, -23.113, proton, 11.950, 6.169, -3.244, pi-, 2.979, 1.423, -0.838,  YY
 -25.940, -5.686, 4.684, proton, -2.893, -0.583, 0.599, pi-, -0.689, -0.202, 0.048,  YY
 6.483, -8.408, 7.942, proton, 2.765, -3.467, 3.271, pi-, 0.634, -0.941, 0.893,  YY
 19.784, -14.939, -17.743, proton, 3.344, -2.519, -3.113, pi-, 0.813, -0.620, -0.616,  YY
 15.451, 2.582, -12.173, proton, 9.722, 1.631, -7.534, pi-, 1.703, 0.278, -1.468,  YY
 -0.751, -28.824, -7.822, proton, -0.135, -2.964, -0.758, pi-, 0.035, -0.745, -0.250, 22, 0.002, -0.038, -0.010,  YY
 -87.932, 26.164, 3.929, proton, -5.002, 1.471, 0.316, pi-, -1.138, 0.356, -0.042,  YY
 -27.482, 10.720, -1.432, proton, -2.674, 1.096, -0.184, pi-, -0.804, 0.260, 0.002,  YY
 34.390, -14.891, -28.620, proton, 10.017, -4.325, -8.338, pi-, 0.688, -0.310, -0.571,  YY
 18.201, -10.148, -21.182, proton, 3.013, -1.627, -3.370, pi-, 0.304, -0.222, -0.490,  YY
 -8.476, -29.044, -1.210, proton, -0.604, -1.874, -0.074, pi-, 0.012, -0.155, -0.011,  YY
 83.317, 26.946, -95.011, proton, 6.224, 1.911, -7.036, pi-, 0.950, 0.410, -1.145,  YY
 -35.241, -40.272, 38.050, proton, -1.554, -1.681, 1.724, pi-, -0.249, -0.380, 0.224,  YY
 30.371, 8.954, 32.017, proton, 3.793, 1.209, 3.962, pi-, 0.813, 0.149, 0.893,  YY
 -2.440, 1.947, -3.538, proton, -0.732, 0.666, -1.158, pi-, -0.289, 0.149, -0.323,  YY
 0.023, -14.360, 7.572, proton, 0.029, -5.182, 2.826, pi-, -0.018, -1.363, 0.625,  YY
 12.114, -12.162, -9.764, proton, 1.765, -1.794, -1.389, pi-, 0.556, -0.536, -0.482,  YY
 22.140, -31.626, -23.124, proton, 1.977, -2.933, -2.086, pi-, 0.618, -0.773, -0.624,  YY
 124.836, 5.161, 77.826, proton, 8.473, 0.367, 5.398, pi-, 1.449, 0.043, 0.787,  YY
 11.104, -5.615, 1.415, proton, 2.749, -1.284, 0.358, pi-, 0.347, -0.282, 0.036,  YY
 -33.592, 60.294, -4.626, proton, -3.657, 6.494, -0.417, pi-, -0.424, 0.830, -0.145,  YY
 -48.209, 219.411, 169.571, proton, -2.500, 11.556, 8.983, pi-, -0.270, 1.049, 0.759,  YY
 0.726, 8.123, 7.465, proton, 0.756, 9.512, 8.715, pi-, 0.283, 2.100, 1.957,  YY
 -37.481, -38.482, -34.736, proton, -3.131, -3.315, -2.926, pi-, -0.361, -0.270, -0.310,  YY
 -7.436, 5.479, 3.385, proton, -1.867, 1.425, 0.764, pi-, -0.379, 0.230, 0.259,  YY
 -7.614, -34.292, 15.434, proton, -1.295, -6.102, 2.728, pi-, -0.454, -1.773, 0.817,  YY
 -0.466, 4.708, -5.182, proton, -0.036, 0.908, -0.936, pi-, -0.077, 0.235, -0.322,  YY
 291.175, -52.480, 126.173, proton, 14.287, -2.663, 6.154, pi-, 3.189, -0.487, 1.419,  YY
 -7.588, 6.888, 3.798, proton, -1.842, 1.625, 0.898, pi-, -0.555, 0.551, 0.301,  YY
 -6.477, 18.006, -13.249, proton, -0.302, 1.135, -0.819, pi-, -0.163, 0.159, -0.133,  YY
 -2.254, 25.803, -0.013, proton, -1.393, 15.881, -0.108, pi-, -0.248, 2.909, 0.099,  YY
 -0.065, 0.057, -0.075, proton, -1.033, 0.927, -1.181, pi-, -0.062, 0.031, -0.078,  YY
 0.177, -1.705, 1.033, proton, 0.211, -1.680, 1.115, pi-, -0.010, -0.257, 0.058,  YY
 -160.645, -127.280, 21.748, proton, -9.285, -7.295, 1.305, pi-, -2.558, -2.089, 0.298,  YY
 179.489, -27.212, -18.440, proton, 13.148, -1.896, -1.371, pi-, 2.081, -0.413, -0.193,  YY
 14.030, 4.481, 10.186, proton, 8.502, 2.665, 6.060, pi-, 1.794, 0.624, 1.415,  YY
 2.775, -1.016, -3.207, proton, 1.129, -0.448, -1.388, pi-, 0.132, -0.013, -0.069,  YY
 -30.205, 40.741, 36.468, proton, -1.291, 1.695, 1.620, pi-, -0.134, 0.227, 0.100,  YY
 -1.656, -0.112, 1.276, proton, -2.451, -0.126, 1.934, pi-, -0.772, -0.091, 0.550,  YY
 -13.607, 27.580, 28.622, proton, -0.617, 1.121, 1.244, pi-, -0.130, 0.393, 0.327,  YY
 -3.539, -3.373, -1.229, proton, -3.837, -3.715, -1.250, pi-, -0.787, -0.692, -0.356,  YY
 35.636, 33.379, -46.366, proton, 8.937, 8.455, -11.582, pi-, 1.290, 1.124, -1.724,  YY
 -5.615, 14.767, 7.710, proton, -3.021, 7.766, 4.153, pi-, -0.463, 1.396, 0.631,  YY
 15.912, 70.322, 20.822, proton, 1.945, 8.777, 2.513, pi-, 0.517, 2.104, 0.709,  YY
 21.399, 29.546, -36.222, proton, 6.993, 9.566, -11.648, pi-, 1.014, 1.489, -1.905,  YY
 32.495, 76.165, -24.516, proton, 5.567, 13.206, -4.323, pi-, 0.956, 2.083, -0.598,  YY
 22.475, 72.110, -76.463, proton, 1.608, 5.027, -5.475, pi-, 0.288, 1.054, -0.974,  YY
 -13.337, 9.761, -13.283, proton, -1.347, 1.027, -1.243, pi-, -0.258, 0.148, -0.355,  YY
 9.459, 43.033, -9.433, proton, 1.840, 8.117, -1.820, pi-, 0.460, 2.347, -0.474,  YY
 -9.137, 95.146, -59.590, proton, -0.440, 3.972, -2.588, pi-, -0.016, 0.778, -0.388,  YY
 29.092, -24.737, 33.945, proton, 8.419, -7.153, 9.876, pi-, 0.674, -0.579, 0.734,  YY
 -1.065, 0.495, -1.331, proton, -10.344, 4.780, -13.047, pi-, -1.494, 0.725, -1.745,  YY
 -5.713, -2.071, -4.780, proton, -2.623, -0.917, -2.085, pi-, -0.598, -0.250, -0.610,  YY
 2.483, 42.130, -20.274, proton, 0.153, 4.038, -1.972, pi-, 0.143, 1.001, -0.453,  YY
 58.673, -57.785, 37.377, proton, 6.641, -6.597, 4.326, pi-, 1.796, -1.712, 1.048,  YY
 40.611, 158.334, -64.595, proton, 3.553, 13.922, -5.689, pi-, 0.269, 0.979, -0.390,  YY
 -2.377, 7.685, -1.460, proton, -0.968, 2.836, -0.524, pi-, -0.134, 0.726, -0.153,  YY
 1.900, -6.257, -0.571, proton, 0.720, -2.286, -0.214, pi-, 0.204, -0.758, -0.063,  YY
 12.217, 18.762, -2.059, proton, 2.031, 3.076, -0.278, pi-, 0.561, 0.904, -0.158,  YY
 22.783, -18.307, -24.591, proton, 4.293, -3.494, -4.542, pi-, 0.946, -0.715, -1.113,  YY
 3.706, 10.244, -11.492, proton, 0.346, 1.186, -1.257, pi-, 0.176, 0.256, -0.360,  YY
 17.406, 5.110, 15.106, proton, 3.573, 1.113, 3.049, pi-, 0.929, 0.209, 0.858,  YY
 13.711, 5.259, 4.113, proton, 4.970, 2.009, 1.526, pi-, 0.822, 0.213, 0.212,  YY
 8.345, 6.893, -4.554, proton, 1.483, 1.322, -0.892, pi-, 0.441, 0.267, -0.158,  YY
 13.004, 0.304, 13.463, proton, 2.446, 0.024, 2.551, pi-, 0.184, 0.038, 0.171,  YY
 -8.629, -10.060, 8.941, proton, -7.671, -8.856, 7.905, pi-, -0.616, -0.806, 0.682,  YY
 6.887, -4.722, -2.106, proton, 1.805, -1.261, -0.453, pi-, 0.325, -0.199, -0.198,  YY
 -29.447, -7.013, 29.780, proton, -3.833, -0.945, 3.895, pi-, -0.291, -0.037, 0.275,  YY
 -24.293, 54.554, 13.772, proton, -1.544, 3.540, 0.911, pi-, -0.527, 1.109, 0.262,  YY
 -0.477, 14.968, -5.263, proton, -0.089, 2.819, -0.996, pi-, -0.006, 0.178, -0.058,  YY
 -7.907, -8.171, -7.393, proton, -6.611, -6.896, -6.273, pi-, -0.692, -0.651, -0.556,  YY
 -14.123, -47.664, -15.201, proton, -2.062, -6.706, -2.218, pi-, -0.279, -1.196, -0.302,  YY
 -0.268, -0.197, -0.249, proton, -5.071, -3.712, -4.602, pi-, -1.259, -0.946, -1.279,  YY
 39.793, -41.146, -38.496, proton, 0.766, -0.844, -0.704, pi-, 0.246, -0.202, -0.275,  YY
 28.981, -21.540, 32.784, proton, 3.019, -2.338, 3.492, pi-, 0.884, -0.564, 0.923,  YY
 11.780, -6.873, -8.918, proton, 1.896, -1.072, -1.311, pi-, 0.307, -0.214, -0.358,  YY
 -13.492, -50.696, -10.042, proton, -1.028, -4.144, -0.825, pi-, -0.180, -0.393, -0.074,  YY
 -12.065, -34.142, 24.167, proton, -4.032, -11.368, 8.164, pi-, -0.589, -1.709, 1.093,  YY
 -16.139, 4.838, -1.278, proton, -8.353, 2.458, -0.714, pi-, -2.345, 0.749, -0.133,  YY
 23.019, -9.358, 4.380, proton, 1.646, -0.684, 0.373, pi-, 0.141, -0.042, -0.033,  YY
 -12.391, 60.889, -22.309, proton, -1.045, 4.652, -1.714, pi-, -0.116, 1.051, -0.376,  YY
 -75.828, -43.375, -61.485, proton, -5.625, -3.120, -4.547, pi-, -1.369, -0.881, -1.123,  YY
 -12.743, -18.266, -10.646, proton, -5.010, -7.156, -4.216, pi-, -1.556, -2.257, -1.270,  YY
 -26.752, -148.359, 60.616, proton, -0.489, -3.092, 1.329, pi-, -0.199, -0.725, 0.230,  YY
 22.257, -67.356, 45.510, proton, 1.675, -5.173, 3.588, pi-, 0.461, -1.291, 0.779,  YY
 0.013, -11.517, 3.977, proton, -0.040, -7.486, 2.605, pi-, 0.051, -2.265, 0.762,  YY
 40.348, 5.784, 29.870, proton, 2.876, 0.342, 2.176, pi-, 0.773, 0.181, 0.526,  YY
 -3.004, -23.774, -6.597, proton, -1.663, -12.453, -3.440, pi-, -0.114, -1.611, -0.462,  YY
 -8.529, 50.072, -27.416, proton, -1.496, 8.258, -4.475, pi-, -0.161, 1.470, -0.851,  YY
 182.150, -24.430, 163.830, proton, 7.896, -1.066, 7.225, pi-, 1.116, -0.143, 0.881,  YY
 45.285, 11.573, 42.311, proton, 5.303, 1.404, 5.080, pi-, 1.241, 0.269, 1.035,  YY
